timestamp,test-class,test-method,time,description,result
2021-12-09 14:34:14.209,acme.testing.administrator.configuration.AdministratorConfigurationListTest,ListRecent,5768,"[1] recordIndex=0, spam=sex,sexo,hard core,viagra,cialis,nigeria,has ganado,you've won,millon de dolares,million dollar, threshold=0.1",OK
2021-12-09 14:34:30.329,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6595,"[1] recordIndex=0, spam=sex, threshold=0.1",OK
2021-12-09 14:34:36.471,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5872,"[2] recordIndex=0, spam=sex, threshold=0",OK
2021-12-09 14:34:42.75,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6028,"[3] recordIndex=0, spam=sex, threshold=1",OK
2021-12-09 14:34:49.18,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6146,"[4] recordIndex=0, spam=sex, threshold=0.5",OK
2021-12-09 14:34:55.328,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5908,"[5] recordIndex=0, spam=million dollars, threshold=0",OK
2021-12-09 14:35:00.662,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5048,"[1] recordIndex=0, spam=null, threshold=-500",OK
2021-12-09 14:35:06.285,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5325,"[2] recordIndex=0, spam=null, threshold=null",OK
2021-12-09 14:35:11.526,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4984,"[3] recordIndex=0, spam=null, threshold=0",OK
2021-12-09 14:35:16.847,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5040,"[4] recordIndex=0, spam=null, threshold=1.2",OK
2021-12-09 14:35:22.074,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4968,"[5] recordIndex=0, spam=null, threshold=1",OK
2021-12-09 14:35:27.51,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5175,"[6] recordIndex=0, spam=null, threshold=0.1",OK
2021-12-09 14:35:32.939,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5177,"[7] recordIndex=0, spam=null, threshold=0.89",OK
2021-12-09 14:35:38.34,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5063,"[8] recordIndex=0, spam=sex, threshold=null",OK
2021-12-09 14:35:43.915,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5264,"[9] recordIndex=0, spam=sex, threshold=-0.1",OK
2021-12-09 14:35:49.391,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5200,"[10] recordIndex=0, spam=sex, threshold=null",OK
2021-12-09 14:35:54.798,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5153,"[11] recordIndex=0, spam=sex, threshold=1.2",OK
2021-12-09 14:36:00.135,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5042,"[12] recordIndex=0, spam=sex, threshold=600",OK
2021-12-09 14:36:05.429,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5016,"[13] recordIndex=0, spam=sex, threshold=-600",OK
2021-12-09 14:36:17.392,acme.testing.anonymous.duty.AnonymousDutyListTest,ListRecent,2196,"[1] recordIndex=0, title=Clean my car, periodInitial=2021/12/08 12:30, periodFinal=2022/01/20 12:45, description=I have to clean my car, workload=0.10, link=http://lavaderos.com",OK
2021-12-09 14:36:19.601,acme.testing.anonymous.duty.AnonymousDutyListTest,ListRecent,1933,"[2] recordIndex=1, title=Clean my house, periodInitial=2021/12/08 12:30, periodFinal=2022/01/25 13:30, description=I have to clean my house, workload=1.00, link=null",OK
2021-12-09 14:36:21.682,acme.testing.anonymous.duty.AnonymousDutyListTest,ListRecent,1855,"[3] recordIndex=2, title=Go to the doctor, periodInitial=2021/12/08 12:30, periodFinal=2022/01/27 13:30, description=I have to go to the doctor, workload=1.34, link=null",OK
2021-12-09 14:36:23.918,acme.testing.anonymous.duty.AnonymousDutyListTest,ListRecent,1944,"[4] recordIndex=3, title=Developing my application, periodInitial=2021/12/08 12:30, periodFinal=2022/01/28 13:30, description=I have to finish developing my application, workload=8.59, link=http://www.sample-app.com",OK
2021-12-09 14:36:26.134,acme.testing.anonymous.duty.AnonymousDutyListTest,ListRecent,1979,"[5] recordIndex=4, title=Study the math exam, periodInitial=2021/12/08 12:30, periodFinal=2022/01/26 12:30, description=I have to study the math exam, workload=11.25, link=null",OK
2021-12-09 14:36:29.343,acme.testing.anonymous.duty.AnonymousDutyListTest,listAnonymousNegative,2963,"[1] user=officer1, password=officer1",OK
2021-12-09 14:36:32.627,acme.testing.anonymous.duty.AnonymousDutyListTest,listAnonymousNegative,3038,"[2] user=employer1, password=employer1",OK
2021-12-09 14:36:48.267,acme.testing.athenticated.duty.AuthenticatedDutyListTest,listPublicFinishedDuties,5199,"[1] recordIndex=0, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, title=Do exercises, description=I have to finish the dp delivery, workload=0.44, link=http://www.sample-app.com",OK
2021-12-09 14:36:53.344,acme.testing.athenticated.duty.AuthenticatedDutyListTest,listPublicFinishedDuties,4785,"[2] recordIndex=1, periodInitial=2021/07/07 00:00, periodFinal=2021/07/08 00:00, title=Buy vegetables, description=I have to go to the supermarket, workload=1.15, link=http://supermarketOnline.com",OK
