timestamp,simple-path,time
2021-12-08 17:22:27.204,/master/welcome,3591
2021-12-08 17:22:27.686,/master/welcome,458
2021-12-08 17:22:29.461,/master/sign-in,1663
2021-12-08 17:22:30.552,/master/welcome,570
2021-12-08 17:22:33.264,/master/welcome,368
2021-12-08 17:22:33.938,/master/welcome,585
2021-12-08 17:22:34.435,/master/welcome,295
2021-12-08 17:22:34.777,/master/welcome,299
2021-12-08 17:22:35.464,/master/sign-in,550
2021-12-08 17:22:36.537,/master/sign-in,575
2021-12-08 17:22:36.948,/master/welcome,295
2021-12-08 17:22:37.376,/master/welcome,402
2021-12-08 17:22:37.994,/master/sign-in,553
2021-12-08 17:22:39.034,/master/welcome,553
2021-12-08 17:22:39.769,/administrator/dashboard/show,695
2021-12-08 17:22:40.206,/master/welcome,407
2021-12-08 17:22:40.839,/master/welcome,561
2021-12-08 17:22:41.179,/master/welcome,299
2021-12-08 17:22:41.589,/master/welcome,393
2021-12-08 17:22:42.284,/master/sign-in,576
2021-12-08 17:22:43.466,/master/welcome,586
2021-12-08 17:22:44.245,/administrator/dashboard/show,570
